삭제(O 표시),업종,상호,리조트,지역,주소,전화,겸업,영업시간,홈페이지,인스타,등록ID
,스키·보드샵,BHS,(외),서울,서울특별시 강남구 도산대로27길 20 B1F,0507-1328-7092,,"토 11:00~20:00, 월 11:00~20:00, 화 11:00~20:00, 수 11:00~20:00, ",https://www.bhs1996.com,bhs_1996,f0109608-ecb6-4234-a565-81efad39b420
,스키·보드샵,BHS스키샵,(외),경상,대구광역시 수성구 들안로 106 2층,053-214-7896,정비,매일 11:00~21:00,http://skiuk.kr,,848e0f68-540b-48cb-a86b-7bf697b5b278
,스키·보드샵,IXNINE,(외),서울,서울특별시 강서구 양천로 661 B1,02-3664-8881,,"월 11:00~16:00, 화 11:00~16:00, 수 11:00~16:00, 목 11:00~16:00, ",http://www.ixnine.co.kr,ixnine_99,04efcf3c-5738-4585-8a5c-013e0dc9f5dc
,스키·보드샵,playboardshop,(외),경기,경기도 고양시 일산서구 한류월드로 300 원마운트 1층 1229호,031-932-2624,,"토 12:30~19:00, 일 12:30~19:00, 월 12:30~19:00, 화 12:30~19:00, ",http://playboardshop.com,playboardshop,d52bdb17-105e-4ebb-816c-aff4a473d6ef
,스키·보드샵,꾸따,(외),경상,부산광역시 동구 대영로243번길 43 506호,,,일 00:00~01:00; 토 정기휴무 (매주 토요일); 월 정기휴무 (매주 월요일); 화 정기휴무 (매주 ,http://storefarm.naver.com/yaman,kuta_busan,aaf592cc-4986-405e-b45a-8bad68458052
,스키·보드샵,대구판타고,(외),경상,대구광역시 수성구 범안로 15 1층판타고,053-621-7770,렌탈,"토 12:00~19:00, 일 12:00~19:00, 월 11:30~19:00, 화 11:30~19:00, ",http://www.pantago.com,,f8d9b5a5-a55c-45b5-8822-5e955b872013
,스키·보드샵,도깨비나라,(외),강원,강원특별자치도 고성군 간성읍 진부령로 654,033-681-5555,렌탈,,,,02135322-dea7-495e-b084-22b5af426247
,스키·보드샵,레알컴퍼니,(외),경상,대구광역시 수성구 달구벌대로528길 6 동영빌딩 2층,0507-1331-7078,,매일 09:00~21:00; 설 당일 영업합니다.,http://www.sportsreal.co.kr,,2f7fa339-2b31-4d7c-a510-860eb0124082
,스키·보드샵,롬프,(외),서울,서울특별시 강남구 논현로116길 26 봉황빌딩 1층 ROMP,02-2236-0625,,"토 13:00~19:30, 일 13:00~19:30, 월 10:30~19:30, 화 10:30~19:30, ",https://smartstore.naver.com/romp,romp_clothing,85add819-ebe0-4b7e-9f52-3d60f97fbf74
,스키·보드샵,몬타나스포츠,(외),서울,서울특별시 강남구 언주로 540 코원타워 1층,02-566-8007,정비,"매일 11:00~20:00; 휴무: 매달 2, 4번째 일요일 정기 휴무; 비수기 영업 4월-9월 / 둘째,넷",https://smartstore.naver.com/montanasports,montanasports,45921abd-3033-4f1f-a997-895ac598d01a
,스키·보드샵,몽블랑스키렌탈,(외),충청,충북 충주시 수안보면 주정산로 106,043-848-9339,렌탈,매일 00:00~24:00,,,b12fb14e-0c47-4e5a-a8ea-abfa7ead716f
,스키·보드샵,베어스노우,(외),경기,경기도 시흥시 수인로3413번길 7 2층 베어스노우,031-311-2455,정비,월 00:00~00:05; 토 정기휴무 (매주 토요일); 일 정기휴무 (매주 일요일); 화 정기휴무 (매주 ,http://www.bearsnow.co.kr,,8ad33d21-2818-42ec-ab8f-aa3c777c3fce
,스키·보드샵,보드샵천국,(외),경기,인천광역시 남동구 성말로53번길 9-8 1층 (백두상사),,,"토 정기휴무, 일 정기휴무, 월 09:00~18:00, 화 09:00~18:00, 수 09:00~18:00,",http://storefarm.naver.com/heavenboard,,ff2b8c11-049a-449f-ab58-867a585d5b4e
,스키·보드샵,보드코리아 강남본점,(외),서울,서울특별시 강남구 논현로 628 1층,0507-1360-6397,,매일 11:00~21:00,https://www.boardkorea.com,boardkorea,b0eacaa4-68c1-45d8-8ca8-495d16f2a854
,스키·보드샵,보령레져스키스포츠,(외),충청,충남 보령시 동대동 원평3길 28,041-933-2211,렌탈,,,,b095292d-7552-4145-b572-68f98a7733ec
,스키·보드샵,본네스 보드샵,(외),전라,전북특별자치도 전주시 완산구 반촌로 6 베이킹스토리 2층,,,"토 11:30~19:00, 일 11:30~19:00, 화 11:30~19:00, 수 11:30~19:00, ",https://smartstore.naver.com/boneless,9ninemonth_skiboardschool,21a75760-7057-41cd-9094-9e9857e58554
,스키·보드샵,봄내스포츠 서울점,(외),서울,서울특별시 송파구 동남로 94,0507-1353-8163,,매일 11:00~20:00; 3월~9월 영업시간 오전 11시 ~ 오후 8시,http://www.bomnaesports.com,,ce88dce4-e897-4b98-a34c-d257b09dba66
,스키·보드샵,수안보보드스키랜드,(외),충청,충북 충주시 수안보면 주정산로 98,043-848-3692,렌탈,매일 00:00~24:00,,,00a2bc62-d6d3-44e4-bf54-4e472d73b6be
,스키·보드샵,스노우뱅크,(외),서울,서울특별시 강남구 도산대로 437 1층,02-543-2000,,"토 11:00~19:00, 일 11:00~19:00, 화 11:00~19:00, 수 11:00~19:00, ",http://www.snowbank.co.kr,,ae8313d3-7add-4b24-b26e-2f67da8ce72e
,스키·보드샵,스포츠라인,(외),경기,경기도 구리시 안골로 1 스포츠라인빌딩 1층 / 주차장 주소 구리시 교문동730,031-562-0081,정비,"토 11:00~20:00, 화 11:00~20:00, 수 11:00~20:00, 목 11:00~20:00, ",https://smartstore.naver.com/ski_bike,sportsline4u,c933e9a8-4d61-434d-af2e-a89ccb9e8b77
,스키·보드샵,스피드 스키보드,(외),경기,경기 남양주시 화도읍 먹갓로서길 45,031-593-7330,렌탈,,,,2f515215-4745-4bd3-b4d0-a023b7b48666
